Frame,Latency_ms
2540,48.0021
2541,45.3630
2542,47.3701
2543,42.7164
2544,43.5074
2545,45.1647
2546,45.9248
2547,43.9193
2548,44.4281
2549,47.1124
2550,44.3374
2551,41.5825
2552,47.0416
2553,43.7708
2554,45.5654
2555,44.0365
2556,42.4575
2557,42.2503
2558,45.3921
2559,45.4796
2560,44.1299
2561,47.5302
2562,43.5890
2563,43.8286
2564,43.9288
2565,44.7885
2566,44.2453
2567,50.8562
2568,44.9207
2569,41.9061
2570,43.4990
2571,45.2265
2572,42.6813
2573,43.8582
2574,50.1607
2575,45.4342
2576,43.1380
2577,44.9858
2578,45.0003
2579,44.2149
2580,45.7167
2581,45.9952
2582,52.8720
2583,48.9402
2584,51.2860
2585,46.9176
2586,45.0129
2587,44.4456
2588,44.3949
2589,44.0887
2590,46.7070
2591,43.6500
2592,42.5791
2593,43.0761
2594,43.7920
2595,44.6898
2596,48.5025
2597,45.8425
2598,47.0238
2599,46.2271
2600,50.1636
2601,50.0231
2602,61.3688
2603,49.7144
2604,55.6083
2605,59.3242
2606,51.1002
2607,50.7987
2608,58.9047
2609,55.6221
2610,49.9677
2611,51.0633
2612,52.4320
2613,56.7692
2614,49.9442
2615,54.3362
2616,51.2239
2617,58.9759
2618,52.6764
2619,62.8219
2620,48.6608
2621,54.5708
2622,51.1186
2623,52.9011
2624,51.5118
2625,52.0341
2626,50.3754
2627,49.5582
2628,53.7390
2629,55.9862
2630,53.9362
2631,48.8356
2632,52.9816
2633,54.9275
2634,53.9774
2635,52.9383
2636,53.6412
2637,59.5648
2638,54.2455
2639,49.8883
2640,50.0284
2641,48.7176
2642,49.7518
2643,46.9120
2644,49.3128
2645,51.3791
2646,49.7468
2647,42.7469
2648,46.3023
2649,46.6728
2650,47.3668
2651,44.6566
2652,42.0167
2653,48.3533
2654,45.2043
2655,47.4050
2656,44.4571
2657,43.3392
2658,49.4705
2659,44.9069
2660,51.5701
2661,43.6989
2662,52.6909
2663,49.0680
2664,47.5921
2665,41.7832
2666,45.5140
2667,43.0586
2668,43.2433
2669,46.1229
2670,43.5388
2671,45.5987
2672,43.9820
2673,39.7081
2674,42.5807
2675,45.7761
2676,40.7445
2677,44.3571
2678,42.2743
2679,45.3654
2680,44.6279
2681,46.5802
2682,41.1056
2683,45.8569
2684,42.9758
2685,46.0600
2686,43.8109
2687,42.0815
2688,44.9498
2689,43.3696
2690,44.8114
2691,46.1313
2692,43.2576
2693,47.9566
2694,41.5647
2695,42.2502
2696,43.2958
2697,45.4534
2698,45.3228
2699,40.8116
2700,49.9767
2701,41.6593
2702,41.3643
2703,41.2798
2704,43.8164
2705,41.2557
2706,42.9535
2707,42.0524
2708,41.6811
2709,41.3582
2710,44.3807
2711,41.8561
2712,44.8826
2713,43.3750
2714,44.3024
2715,44.0722
2716,43.9916
2717,43.3745
2718,44.0025
2719,43.1554
2720,43.9298
2721,42.2341
2722,43.1100
2723,44.9784
2724,40.2910
2725,43.2137
2726,41.0401
2727,44.9708
2728,43.8277
2729,39.3862
2730,39.2184
2731,39.1931
2732,38.3882
2733,44.8155
2734,41.3852
2735,39.5452
2736,41.4424
2737,42.1246
2738,44.5887
2739,45.9438
2740,40.9380
2741,39.7027
2742,42.1032
2743,44.8853
2744,40.3098
2745,38.8433
2746,41.8301
2747,45.3520
2748,39.1122
2749,45.7961
2750,40.1789
2751,46.1422
2752,39.5599
2753,50.4473
2754,47.2838
2755,43.9595
2756,41.8616
2757,42.1987
2758,42.9434
2759,41.8763
2760,39.7612
2761,42.4785
2762,38.9430
2763,42.2334
2764,39.2803
2765,41.9253
2766,41.6901
2767,40.1111
2768,45.7613
2769,42.5707
2770,37.0723
2771,42.0328
2772,45.7896
2773,40.4408
2774,42.0865
2775,41.3586
2776,39.5428
2777,38.8476
2778,38.6836
2779,40.5814
2780,44.9361
2781,39.8007
2782,50.0913
2783,38.7208
2784,44.5139
2785,43.3799
2786,40.4907
2787,45.5904
2788,44.7287
2789,41.8453
2790,40.7158
2791,44.2127
2792,38.8318
2793,48.3957
2794,41.9183
2795,44.4976
2796,41.6895
2797,39.1774
2798,41.2749
2799,43.2571
2800,41.5892
2801,39.9371
2802,41.3694
2803,40.9431
2804,40.5418
2805,44.6904
2806,39.4907
2807,44.7062
2808,40.2723
2809,40.9465
2810,41.4957
2811,44.6728
2812,41.9089
2813,40.9333
2814,43.4566
2815,38.6201
2816,40.9273
2817,42.9351
2818,45.7541
2819,39.3616
2820,45.7622
2821,41.9535
2822,40.7177
2823,41.4273
2824,45.4213
2825,41.8492
2826,38.1726
2827,41.5424
2828,44.4223
2829,40.8370
2830,43.7698
2831,40.7701
2832,45.1415
2833,41.4380
2834,46.5595
2835,40.1502
2836,43.3423
2837,41.5942
2838,45.2860
2839,42.2797
2840,42.9679
2841,44.4670
2842,45.0506
2843,44.4526
2844,42.0610
2845,43.0610
2846,47.3818
2847,44.3502
2848,42.7116
2849,42.9796
2850,44.0526
2851,45.9643
2852,45.0027
2853,45.0852
2854,40.9624
2855,42.3862
2856,41.9395
2857,43.9601
2858,45.6966
2859,50.4131
2860,41.6980
2861,48.1160
2862,41.6604
2863,45.4888
2864,41.8384
2865,39.1711
2866,40.9680
2867,44.3011
2868,39.6292
2869,44.7524
2870,37.5652
2871,44.8981
2872,42.2455
2873,52.3022
2874,48.0229
2875,39.4656
2876,42.7906
2877,42.5114
2878,39.0614
2879,38.5593
2880,44.1910
2881,45.6799
2882,43.9118
2883,41.7417
2884,44.0836
2885,41.6544
2886,38.4393
2887,40.3909
2888,44.0489
2889,39.6817
2890,39.2706
2891,41.5995
2892,39.0821
2893,46.3738
2894,45.7197
2895,40.9873
2896,44.2942
2897,42.9539
2898,44.0630
2899,46.0292
2900,46.9773
2901,43.4283
2902,42.6088
2903,41.6398
2904,42.0740
2905,42.8291
2906,41.6942
2907,43.3171
2908,40.7788
2909,45.8223
2910,44.0661
2911,44.5156
2912,40.8437
2913,45.2193
2914,40.9788
2915,41.8092
2916,42.3194
2917,44.2225
2918,43.8703
2919,43.3354
2920,39.6892
2921,42.2542
2922,41.7694
2923,43.1531
2924,42.8591
2925,38.7496
2926,42.2906
2927,44.9472
2928,42.5780
2929,38.7559
2930,39.9564
2931,41.1721
2932,43.0687
2933,50.9236
2934,41.6004
2935,40.9422
2936,46.0541
2937,41.9279
2938,73.4329
